"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20190630008719I","30-JUN-19","MONTICELLO","IA","MONTICELLO RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","STEARMAN","A75","N1","","","GENERAL OPERATING RULES","","64712","0","0","LYCOMI","R680","","","PRIVATE PILOT","600","200","5",""
"20190630016709I","30-JUN-19","FAYETTEVILLE","NC","FAYETTEVILLE RGNL/GRANNIS FIELD","INCIDENT","MINOR","TAXI","MOONEY","M20C","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5545Q","0","0","LYCOMI","O&VO-360 SER","","1","PRIVATE PILOT","900","65","47",""
"20190701008799I","01-JUL-19","STOW","MA","MINUTE MAN AIR FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","M","","","GENERAL OPERATING RULES","","5409R","0","0","","","","1","COMMERCIAL PILOT","611","16","8",""
"20190701016149I","01-JUL-19","MIDDLETOWN","PA","HARRISBURG INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28","181","","","GENERAL OPERATING RULES","","21803","0","0","LYCOMI","O&VO-360 SER","","","","","","",""
"20190702008839I","02-JUL-19","CORVALLIS","OR","CORVALLIS MUNI","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CESSNA","172","P","","","GENERAL OPERATING RULES","","65813","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","164","164","55",""
"20190702008849I","02-JUL-19","","FL","BOCA RATON","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","312EC","0","0","LYCOMI","0-540 SERIES","","2","","","","",""
"20190702009019I","02-JUL-19","LAKELAND","FL","LAKELAND LINDER RGNL","INCIDENT","MINOR","DESCENT","AERO VODOCHODY","L39","C","","","GENERAL OPERATING RULES","","439AT","0","0","IVCHEN","AL-25SERIES","","1","AIRLINE TRANSPORT","10000","141","49",""
"20190702009029I","02-JUL-19","OXFORD","OH","MIAMI UNIVERSITY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA28R","200","","","GENERAL OPERATING RULES","","32783","0","0","LYCOMI","I0360 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","16767","670","289",""
"20190702009039I","02-JUL-19","CHESTERFIELD","VA","CHESTERFIELD COUNTY","INCIDENT","SUBSTANTIAL","TAXI","","","","","","GENERAL OPERATING RULES","","217YX","0","1","AEROCO","AEROVEE 2.1 T","","1","PRIVATE PILOT","","","",""
"20190703008889I","03-JUL-19","ENGLEWOOD","CO","CENTENNIAL","INCIDENT","MINOR","LANDING: ROLLOUT","BEECH","58","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","9403Q","0","0","CONT M","IO 520 SERIES","","2","AIRLINE TRANSPORT","14460","","",""
"20190703009079I","03-JUL-19","JUNEAU","AK","JUNEAU INTL","INCIDENT","NONE","HOVER-HOLDING","AEROSPATIALE","AS350","B2","COASTAL HELICOPTERS INC","","ROTORCRAFT EXTERNAL LOAD OPERATIONS","","279CH","0","0","","","","1","COMMERCIAL PILOT","6900","1140","123",""
"20190703009089I","03-JUL-19","GREENVILLE","TX","MAJORS","INCIDENT","MINOR","LANDING: APPROACH","ROCKWELL","114","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","114AL","0","0","LYCOMI","0-540 SERIES","","1","","","","",""
"20190703009099I","03-JUL-19","ATTICA","MI","","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","736DW","0","1","LYCOMI","O-360-A1A","","","PRIVATE PILOT","2368","688","5",""
"20190703009119I","03-JUL-19","WINNEMUCCA","NV","WINNEMUCCA MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20C","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","5772Q","0","0","LYCOMI","O&VO-360 SER","","1","PRIVATE PILOT","1140","400","12",""
"20190704009199I","04-JUL-19","","","SUSSEX","INCIDENT","NONE","LANDING: APPROACH","","","","","","PARACHUTE JUMPING","","NONE","0","1","","","","","","","","",""
"20190704010549I","04-JUL-19","BERRYVILLE","AR","CARROLL COUNTY","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","182","R","","","GENERAL OPERATING RULES","","4246C","0","0","LYCOMI","0-540 SERIES","UNKNOW","1","","","","",""
"20190705009209I","05-JUL-19","ALEXANDRIA","MN","CHANDLER FIELD","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","177RG","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","34058","0","0","LYCOMI","IO-360-A1B6D","","1","","","","",""
"20190705009239I","05-JUL-19","CASA GRANDE","AZ","","INCIDENT","MINOR","HOVER-HOLDING","CESSNA","182","H","","","GENERAL OPERATING RULES","","2379X","1","1","CONT M","O-470 SERIES","","1","","","","",""
"20190705009249I","05-JUL-19","MOBILE","AL","MOBILE DOWNTOWN","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","4676W","0","0","LYCOMI","T0-360 SER","","1","PRIVATE PILOT","414","192","16",""
"20190705017499I","05-JUL-19","ANDOVER","NJ","AEROFLEX-ANDOVER","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","S","","","GENERAL OPERATING RULES","","379SP","0","0","LYCOMI","IO-360-L2A","","1","PRIVATE PILOT","109","87","22",""
"20190706009279I","06-JUL-19","KINGSTON","RI","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA25","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","6456Z","0","0","LYCOMI","O-360-A1A","","","COMMERCIAL PILOT","608","22","116",""
"20190706009309I","06-JUL-19","DECATUR","IL","DECATUR","INCIDENT","MINOR","TAKEOFF: ROTATION","","","","","","GENERAL OPERATING RULES","","146CA","0","0","AMA/EX","UNKNOWN ENG","","","PRIVATE PILOT","74","1","1",""
"20190706016139I","06-JUL-19","OMAHA","NE","MILLARD","INCIDENT","NONE","LANDING: ROLLOUT","CESSNA","172","N","","","GENERAL OPERATING RULES","","6293G","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT","135","34","15",""
"20190707009329I","07-JUL-19","SAN YSIDRO","NM","","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","678DT","0","0","ROTAX","503 DCDI","","","STUDENT","120","120","15",""
"20190707009359I","07-JUL-19","MELBOURNE","FL","MELBOURNE INTL","INCIDENT","MINOR","LANDING: APPROACH","","","","","","GENERAL OPERATING RULES","","87BR","0","0","LYCOMI","IO-540 SER","","","PRIVATE PILOT","193","","",""
"20190707009369I","07-JUL-19","SAN DIEGO","CA","MONTGOMERY FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA46","500TP","","","GENERAL OPERATING RULES","","560HP","0","0","P&W","PT6A SER","42A","","PRIVATE PILOT","700","187","18",""
"20190707009389I","07-JUL-19","LAWTON","OK","LAWTON-FORT SILL RGNL","INCIDENT","NONE","TAXI","BELL","407","NO SERIES EXISTS","VIKING AVIATION LLC","","AIR TAXI/COMMUTER","","390SF","0","0","ALLISO","250-C47","","1","COMMERCIAL PILOT","2234","64","74",""
"20190708009439I","08-JUL-19","FORT MYERS","FL","PAGE FIELD","INCIDENT","NONE","TAKEOFF: DEPARTURE","PIPER","PA44","180","","","PILOT SCHOOLS","","582ND","0","0","LYCOMI","LO-360-A1H6","","","PRIVATE PILOT FLIGHT INSTRUCTOR","1430","225","345",""
"20190709009509I","09-JUL-19","BLANCHARD","MI","","INCIDENT","MINOR","MANEUVER","GRUMMAN","G164","B","HERITAGE AG LLC","","AGRICULTURAL","","773D","0","0","WALTER","M601E-11","","","PRIVATE PILOT","2352","1088","190",""
"20190709009709I","09-JUL-19","OSHKOSH","WI","WITTMAN RGNL","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","172","S","","","PILOT SCHOOLS","","53289","0","0","LYCOMI","IO-360-L2A","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","1056","937","148",""
"20190709015929I","09-JUL-19","RAMONA","CA","RAMONA","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA24","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","5015P","0","0","LYCOMI","O&VO-360 SER","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20190710009729I","10-JUL-19","WALL TOWN","NJ","MONMOUTH EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","L","","","GENERAL OPERATING RULES","","9803C","0","0","LYCOMI","0-320 SERIES","","1","AIRLINE TRANSPORT","16543","","",""
"20190710009779I","10-JUL-19","TETERBORO","NJ","TETERBORO","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","BEECH","200","B200C","EASTERN AIR EXPRESS INC","","GENERAL OPERATING RULES","","389RA","0","0","P&W CA","PT6A-42","","2","","","","",""
"20190710009809I","10-JUL-19","NEELYVILLE","MO","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","2543T","0","0","ROTAX","503 DCDI","","","STUDENT","58","58","15",""
"20190710009819I","10-JUL-19","STATESBORO","GA","STATESBORO-BULLOCH COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","DIAMOND","DA42","NG","","","","","426YP","0","0","AUSTRO","E4-C","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","23000","42","75",""
"20190711009849I","11-JUL-19","MILWAUKEE","WI","LAWRENCE J TIMMERMAN","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","421","C","","","GENERAL OPERATING RULES","","421DE","0","0","CONT M","GTSIO-520-C","","2","COMMERCIAL PILOT","2547","478","43",""
"20190711009889I","11-JUL-19","NANTUCKET","MA","NANTUCKET MEMORIAL","INCIDENT","MINOR","TAXI","PIPER","PA31","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","131PJ","0","0","LYCOMI","TI0-540 SER","","","COMMERCIAL PILOT","1950","1200","15",""
"20190711009929I","11-JUL-19","CHICAGO","IL","CHICAGO O'HARE INTL","INCIDENT","MINOR","TAKEOFF: DEPARTURE","RAYTHEON","HAWKER","800XP","EXECUTIVE JET MANAGEMENT INC","","AIR TAXI/COMMUTER","","885TR","0","0","HONEYW","TFE731-5BR-2C","","","","","","",""
"20190712011259I","12-JUL-19","CRANDON","WI","CRANDON/STEVE CONWAY MUNI","INCIDENT","NONE","LANDING: TOUCHDOWN","AVIAT","A1","C200","","","GENERAL OPERATING RULES","","283WY","0","0","LYCOMI","IO-360-A1D6","","","PRIVATE PILOT","520","65","85",""
"20190712011269I","12-JUL-19","SABIN","MN","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","PIPER","PA25","235","LESMEISTER, DEAN","","AGRICULTURAL","","6891Z","0","0","LYCOMI","0-540 SERIES","","","","","","",""
"20190712011299I","12-JUL-19","BELLEVILLE","IL","AERO ESTATES","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","174LF","0","0","AMA/EX","UNKNOWN ENG","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","4418","34","93",""
"20190712011339I","12-JUL-19","CLOVIS","NM","CLOVIS MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA46","350P","","","GENERAL OPERATING RULES","","987PS","0","0","LYCOMI","TIO 540 SER","","","PRIVATE PILOT","","3700","",""
"20190712011359I","12-JUL-19","WOLVERTON","MN","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","GRUMMAN","G164","A","","","AGRICULTURAL","","896X","0","0","P&W","R-985 SERIES","14B","","COMMERCIAL PILOT","1932","125","22",""
"20190712015309I","12-JUL-19","SPRINGFIELD","MO","SPRINGFIELD-BRANSON NATIONAL","INCIDENT","MINOR","TAXI","PIPER","PA28R","180","","","GENERAL OPERATING RULES","","3968T","0","0","LYCOMI","I0360 SER","","","COMMERCIAL PILOT","821","271","6",""
"20190712015329I","12-JUL-19","PAYSON","AZ","PAYSON","INCIDENT","MINOR","LANDING: TOUCHDOWN","MOONEY","M20K","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","231DU","0","0","","","","1","COMMERCIAL PILOT","2413","70","2",""
"20190713011489I","13-JUL-19","SARASOTA","FL","SARASOTA/BRADENTON INTL","INCIDENT","MINOR","TAXI","BEECH","55","E55","","","GENERAL OPERATING RULES","","252DP","0","0","CONT M","IO 520 SERIES","N/A","","","703","","",""
"20190713016129I","13-JUL-19","FORT MEADE","MD","TIPTON","INCIDENT","MINOR","CLIMB","","","","","","GENERAL OPERATING RULES","","32XS","0","0","AMA/EX","UNKNOWN ENG","","","PRIVATE PILOT","269","30","1",""
"20190714006759I","14-JUL-19","PLAINWELL","MI","PLAINWELL MUNI","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","172","I","","","GENERAL OPERATING RULES","","8407L","0","0","LYCOMI","0-320 SERIES","","1","STUDENT","40","8","20",""
"20190714011599I","14-JUL-19","MOUNT ZION","IL","","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","35","J35","","","GENERAL OPERATING RULES","","7289B","0","0","CONT M","I0-470 SERIES","N/A","1","PRIVATE PILOT","7500","","",""
"20190714011759I","14-JUL-19","CEDAR RAPIDS","IA","THE EASTERN IOWA","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","TAYLORCRAFT","BC12","D","","","GENERAL OPERATING RULES","","96310","0","0","CONT M","A&C65 SERIES","","","","","","",""
"20190714011769I","14-JUL-19","BROOMFIELD","CO","ROCKY MOUNTAIN METROPOLITAN","INCIDENT","MINOR","LANDING: APPROACH","PIPER","PA44","180","","","","","2882C","0","0","LYCOMI","O&VO-360 SER","","","PRIVATE PILOT FLIGHT INSTRUCTOR","1261","83","239",""
"20190714015289I","14-JUL-19","RAMSEY","IN","","INCIDENT","MINOR","OTHER-SPECIFY","AEROSPATIALE","AS350","B2","AG MAX LLC","","AGRICULTURAL","","510NA","0","0","TURBOM","ARRIEL 1D1","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","3950","750","50",""
"20190714015919I","14-JUL-19","CHESTER","SC","CHESTER CATAWBA RGNL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","BEECH","90","B90","","","PARACHUTE JUMPING","","75SC","1","0","P & W","PT6A-28","","2","COMMERCIAL PILOT","12000","","",""
"20190714016419I","14-JUL-19","DENTON","TX","DENTON MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","140FB","0","0","SUPERI","IO-360 SER","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","","450","50",""
"20190714016839I","14-JUL-19","BREMERTON","WA","BREMERTON NATIONAL","INCIDENT","MINOR","LANDING: TOUCHDOWN","REPUBLIC","RC3","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","87583","0","0","LYCOMI","GSO&IGSO-480","","","PRIVATE PILOT","2200","1800","20",""
"20190715011809I","15-JUL-19","BUCYRUS","OH","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","114CH","0","0","AMA/EX","UNKNOWN ENG","","","PRIVATE PILOT","","","",""
"20190715011839I","15-JUL-19","GREENVILLE","SC","DONALDSON CENTER","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","310","Q","","","GENERAL OPERATING RULES","","69HB","0","0","CONT M","I0-470 SERIES","","2","AIRLINE TRANSPORT","6106","","",""
"20190716011849I","16-JUL-19","CARLSBAD","CA","MC CLELLAN-PALOMAR","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BEECH","33","F33A","","","GENERAL OPERATING RULES","","18429","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","560","120","6",""
"20190716011879I","16-JUL-19","ANCHORAGE","AK","TED STEVENS ANCHORAGE INTL","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","","","","PENINSULA AIRWAYS INC","","AIR CARRIER/COMMERCIAL","","681PA","0","0","ALLISO","AE2100SER","AE2100","2","","","","",""
"20190716011899I","16-JUL-19","JACKSONVILLE","FL","CRAIG MUNI","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","P","","","PILOT SCHOOLS","","65704","0","0","LYCOMI","0-320 SERIES","D2J","1","STUDENT","49","49","21",""
"20190716011909I","16-JUL-19","OLIVE BRANCH","MS","OLIVE BRANCH","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA32R","300","","","GENERAL OPERATING RULES","","635BD","0","0","LYCOMI","TI0-540 SER","","","","","","",""
"20190716011949I","16-JUL-19","VIRGINIA BEACH","VA","VIRGINIA BEACH","INCIDENT","MINOR","TAXI","PIPER","PA28R","180","","","GENERAL OPERATING RULES","","4971J","0","0","LYCOMI","I0360 SER","","","PRIVATE PILOT","620","44","9",""
"20190716015279I","16-JUL-19","WYNDMERE","ND","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","AYRES","S2R","UNDESIGNATED SERIES","THOMPSON AERIAL SERVICE INC","","AGRICULTURAL","","4933X","0","0","P&W","R1340 SERIES","","","COMMERCIAL PILOT","18000","8000","60",""
"20190716016209I","16-JUL-19","","","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","MCDONNELL DOUGLAS","MD11","UNDESIGNATED SERIES","WESTERN GLOBAL AIRLINES LLC","","AIR CARRIER/COMMERCIAL","","512JN","0","0","GE","CF6-80C2D1F","","","AIRLINE TRANSPORT","","","",""
"20190717011969I","17-JUL-19","DENVER","CO","CENTENNIAL","INCIDENT","NONE","TAKEOFF: ROTATION","CESSNA","525","A","JET LINX AVIATION LLC","","AIR TAXI/COMMUTER","","525RL","0","0","WILLIA","FJ44-3A-24","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","7148","2216","156",""
"20190717015249I","17-JUL-19","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","BEECH","200","UNDESIGNATED SERIES","NORTHROP GRUMMAN SYSTEMS CORPORATION","","AIR TAXI/COMMUTER","","14NG","0","0","P&W CA","PT6A-42","","2","COMMERCIAL PILOT","4500","","",""
"20190718012029I","18-JUL-19","NEW SHOREHAM","RI","BLOCK ISLAND STATE","INCIDENT","MINOR","LANDING: ROLLOUT","CIRRUS","SR22","UNDESIGNATED SERIES","CORNERSTONE AVIATION LLC","","AIR TAXI/COMMUTER","","323SR","0","0","CONT M","IO-550-N","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","2888","433","177",""
"20190718012049I","18-JUL-19","PARIS","TX","COX FIELD","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","STEARMAN","A75","N1","","","GENERAL OPERATING RULES","","373VU","0","0","CONT M","W670 SERIES","W670","","","","","",""
"20190718012059I","18-JUL-19","BIRMINGHAM","AL","BIRMINGHAM-SHUTTLESWORTH INTL","INCIDENT","NONE","LANDING: ROLLOUT","PIPER","PA28RT","201T","","","GENERAL OPERATING RULES","","2243Z","0","0","CONT M","TSIO-360 SER","","","PRIVATE PILOT","1800","","",""
"20190718012079I","18-JUL-19","REPUBLIC","MO","","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","210","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","410R","0","0","CONT M","I0-470 SERIES","","1","PRIVATE PILOT","928","665","5",""
"20190718012089I","18-JUL-19","CONROE","TX","LONE STAR EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","36","A36","","","GENERAL OPERATING RULES","","323K","0","0","","","","1","PRIVATE PILOT","373","234","45",""
"20190718012109I","18-JUL-19","SANFORD","FL","ORLANDO SANFORD INTL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","172","P","","","PILOT SCHOOLS","","5470K","0","0","LYCOMI","0-320 SERIES","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","1298","387","334",""
"20190718015229I","18-JUL-19","CALERA","AL","SHELBY COUNTY","INCIDENT","MINOR","TAKEOFF: ROTATION","TITAN","TORNADO","UNDESIGNATED SERIES","","","GENERAL OPERATING RULES","","29990","0","0","ROTAX","503 DCDI","UNKNOW","1","COMMERCIAL PILOT","400","1","",""
"20190718015809I","18-JUL-19","","","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BOEING","737","8Q8","MIAMI AIR INTERNATIONAL INC","","AIR CARRIER/COMMERCIAL","","739MA","0","0","CFM IN","CFM56 SERIES","7B26US","","","","","",""
"20190719005689I","19-JUL-19","MADISON","WI","DANE COUNTY RGNL-TRUAX FIELD","INCIDENT","MINOR","LANDING: APPROACH","BEECH","35","H35","","","GENERAL OPERATING RULES","","5025B","0","0","CONT M","O-470 SERIES","","1","COMMERCIAL PILOT","1964","","",""
"20190719012129I","19-JUL-19","WARREN","VT","WARREN-SUGARBUSH","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","170","B","","","GENERAL OPERATING RULES","","2717D","0","0","CONT M","C145 SERIES","","1","","","","",""
"20190719012199I","19-JUL-19","SALISBURY","NC","ROWAN COUNTY","INCIDENT","MINOR","TAKEOFF: DEPARTURE","PIPER","PA44","180","ATP","","","","6818A","0","0","LYCOMI","O-360-A1H6","","","","1412","398","247",""
"20190719015219I","19-JUL-19","PHILADELPHIA","PA","PHILADELPHIA INTL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","EMBRAER","ERJ170","200","REPUBLIC AIRLINE INC","","AIR CARRIER/COMMERCIAL","","101HQ","0","0","GE","CF34-8E5","","","AIRLINE TRANSPORT","3330","1326","82",""
"20190719016789I","19-JUL-19","KALISPELL","MT","KALISPELL CITY","INCIDENT","MINOR","LANDING: TOUCHDOWN","","","","","","GENERAL OPERATING RULES","","44DY","0","1","ROTAX","912ULS SERIES","","","PRIVATE PILOT","3516","221","126",""
"20190720012219I","20-JUL-19","BRANDT","SD","","INCIDENT","MINOR","TAKEOFF: DEPARTURE","AYRES","S2R600","UNDESIGNATED SERIES","WILDE AIR SERVICE LLC","","AGRICULTURAL","","4013Y","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","20000","14250","175",""
"20190720015159I","20-JUL-19","PARIS","TN","","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CESSNA","150","E","","","GENERAL OPERATING RULES","","6174T","0","0","CONT M","0-200 SERIES","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20190720016119I","20-JUL-19","SAN BERNARDINO","CA","SAN BERNARDINO INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","CESSNA","172","S","","","PILOT SCHOOLS","","21019","0","0","LYCOMI","IO-360-L2A","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1000","580","110",""
"20190720016319I","20-JUL-19","CHEYENNE","WY","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","BEECH","36","A36","","","GENERAL OPERATING RULES","","13YZ","0","0","CONT M","IO 520 SERIES","","1","AIRLINE TRANSPORT","5100","","",""
"20190720017589I","20-JUL-19","SILER CITY","NC","SILER CITY MUNI","INCIDENT","MINOR","RUN-UP AREA","PIPER","PA44","180","","","GENERAL OPERATING RULES","","514CG","0","0","LYCOMI","O-360 SERIES","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","804","81","239",""
"20190720021489I","20-JUL-19","MILLEDEVILLE","GA","BALDWIN COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","MAULE","M4","210","","","GENERAL OPERATING RULES","","4740T","0","0","CONT M","IO-360 SER","","","PRIVATE PILOT","1100","","",""
"20190721008892I","21-JUL-19","MADISON","WI","DANE COUNTY RGNL-TRUAX FIELD","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","","","","","","GENERAL OPERATING RULES","","197CV","0","0","CONT M","IO-550-G","","","COMMERCIAL PILOT","4600","","",""
"20190721012249I","21-JUL-19","CINCINNATI","OH","CINCINNATI MUNI AIRPORT LUNKEN FIELD","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","","","","","","GENERAL OPERATING RULES","","53XT","0","0","LYCOMI","IO-320-D1A","EL-627","","PRIVATE PILOT","435","180","5",""
"20190721012259I","21-JUL-19","GUNNISON","CO","GUNNISON-CRESTED BUTTE RGNL","INCIDENT","NONE","CLIMB","EMBRAER","EMB145","XR","TRANS STATES AIRLINES LLC","","AIR CARRIER/COMMERCIAL","","31131","0","0","ROLLS-","AE3007 SER","","","AIRLINE TRANSPORT","16441","1700","88",""
"20190721012309I","21-JUL-19","BUTLER","PA","BUTLER COUNTY/K W SCHOLTER FIELD","INCIDENT","MINOR","LANDING: APPROACH","BEECH","76","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","2009X","0","0","LYCOMI","O&VO-360 SER","","2","","","","",""
"20190721012359I","21-JUL-19","HOT SPRINGS","AR","MEMORIAL FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","543RV","0","0","LYCOMI","0-320 SERIES","","","","70","22","18",""
"20190721013549I","21-JUL-19","INDEPENDENCE","OR","","INCIDENT","MINOR","DESCENT","","","","","","GENERAL OPERATING RULES","","7970S","0","0","LYCOMI","0-320 SERIES","","","PRIVATE PILOT","800","80","48",""
"20190721015079I","21-JUL-19","BOONE","NC","BOONE INC","INCIDENT","MINOR","TAKEOFF: DEPARTURE","PIPER","PA28R","200","","","GENERAL OPERATING RULES","","99YP","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","1527","150","240",""
"20190721015089I","21-JUL-19","BUCKEYE","AZ","BUCKEYE MUNI","INCIDENT","NONE","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","88ZZ","0","0","ROTAX","912ULS SERIES","","","PRIVATE PILOT","","","",""
"20190721015119I","21-JUL-19","SAN JOSE","CA","REID-HILLVIEW OF SANTA CLARA COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","36","A36TC","","","GENERAL OPERATING RULES","","1824N","0","0","CONT M","TSIO-520 SER","","1","PRIVATE PILOT","2619","1516","7",""
"20190721015529I","21-JUL-19","OXNARD","CA","OXNARD","INCIDENT","MINOR","LANDING: ROLLOUT","MOONEY","M20E","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9253V","0","0","LYCOMI","I0360 SER","","1","","","","",""
"20190721016592I","21-JUL-19","MADISON","WI","DANE COUNTY RGNL-TRUAX FIELD","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","MOONEY","M20J","NO SERIES EXISTS","","","GENERAL OPERATING RULES","","9201A","0","0","LYCOMI","I0360 SER","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","3501","1500","180",""
"20190721017779I","21-JUL-19","","AK","UNALAKLEET","INCIDENT","NONE","GROUND-RAMP","CESSNA","208","B","HAGELAND AVIATION SERVICES INC","","AIR TAXI/COMMUTER","","215MC","0","0","P&W CA","PT6A-114A","","1","PRIVATE PILOT FLIGHT INSTRUCTOR","4112","","",""
"20190721019129I","21-JUL-19","BLAIRSTOWN","NJ","BLAIRSTOWN","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","210","M","","","GENERAL OPERATING RULES","","1943M","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","4000","3000","25",""
