eventairport,Freq
FOREST CITY MUNI,5
FOREST HILL,1
FOREST HOME,1
FOREST LAKE,3
FORKS,1
FORREST CITY MUNI,4
FORT ATKINSON MUNI,2
FORT BENTON,1
FORT BRIDGER,6
FORT COLLINS DOWNTOWN,20
FORT COLLINS-LOVELAND MUNI,41
FORT DODGE RGNL,27
FORT HILL,1
FORT JENSEN,1
FORT LAUDERDALE EXECUTIVE,219
FORT LAUDERDALE INTL,3
FORT LAUDERDALE/HOLLYWOOD INTL,305
FORT LEONARD WO MUNI,1
FORT MADISON MUNI,1
FORT MORGAN MUNI,1
FORT SCOTT MUNI,7
FORT SMITH LANDING STRIP,1
FORT SMITH MUNI,5
FORT SMITH RGNL,57
FORT STOCKTON MUNI,1
FORT STOCKTON-PECOS COUNTY,8
FORT SUMNER MUNI,1
FORT WALTON BEACH,3
FORT WAYNE INTL,174
FORT WORTH ALLIANCE,48
FORT WORTH MEACHAM INTL,170
FORT WORTH NAS JRB/CARSWELL FIELD,1
FORT WORTH SPINKS,25
FORT YUKON,7
FORTY FORT MUNI,1
FOSS,2
FOSSTON MUNI,2
FOSTER FIELD,3
FOSTORIA METROPOLITAN,1
FOUNTAINHEAD LODGE AIRPARK,3
FOUR CORNERS RGNL,72
FOUR WINDS,1
FOWLER,1
FOWLER MUNI,1
FOX,8
FOX FIELD,1
FOX FIRE,1
FOX HAVEN PLANTATION,1
FOX RIVER,2
FOX STEPHENS FIELD - GILMER MUNI,4
FRANCIS S GABRESKI,36
FRANCISCO C. ADA/SAIPAN INTL,6
FRANCONIA,2
FRANK FEDERER MEMORIAL,1
FRANK SIKES,2
FRANK WILEY FIELD,9
FRANKFORT,9
FRANKFORT DOW MEMORIAL FIELD,10
FRANKFORT MUNI,12
FRANKFORT-HIGHLAND,3
FRANKFURT INTL,1
FRANKFURT MUNI,1
FRANKLIN,1
FRANKLIN COUNTY,8
FRANKLIN COUNTY RGNL,7
FRANKLIN COUNTY STATE,3
FRANKLIN FIELD,15
FRANKLIN FLYING FIELD,8
FRANKLIN FOUNDATION HOSPITAL,1
FRANKLIN MUNI,3
FRANKLIN MUNI-JOHN BEVERLY ROSE,9
FRANKLIN WILKINS,2
FRANKLINTON,1
FRASCA FIELD,11
FRAZIER LAKE AIRPARK,4
FRED NETTERVILLE LBR CO WILKINSON COMMNTY,2
FREDDIE JONES FIELD,1
FREDERICK MUNI,56
FREDERICK RGNL,3
FREDONIA,1
FREDRICK MUNI,2
FREEDOM FIELD,2
FREEHOLD,2
FREEMAN FIELD,5
FREEMAN MUNI,5
FREEMONT MUNI,1
FREEPORT,3
FREEPORT INTL,1
FREEPORT/DORNINK,1
FREEWAY,11
FREMONT,4
FREMONT COUNTY,13
FREMONT MUNI,15
FRENCH FIELD,1
FRENCH LICK MUNI,6
FRENCH VALLEY,24
FRESNO CHANDLER EXECUTIVE,30
FRESNO MUNI,20
FRESNO YOSEMITE INTL,221
FREYER FIELD,1
FRIDAY HARBOR,25
FRIDAY HARBOR MUNI,4
FRIEDMAN MEMORIAL,40
FRIENDS,2
FRISCO MUNI,2
FRITCHBURG MUNI,1
FRONT RANGE,54
FRONT ROYAL MUNI,3
FRONT ROYAL-WARREN COUNTY,4
FSA - EVERETT,1
FT ATKINSON MUNI,3
FT COLLINS MUNI,1
FT LAUDERDALE MUNI,2
FT MYERS MUNI,1
FT POLK MUNI,1
FT SCOTT MUNI,1
FT SMITH MUNI,4
FT WAINWRIGHT MUNI,1
FT WAYNE MUNI,7
FT. LAUDERDALE,2
FT. LAUDERDALE HOLLYWOOD,1
FULLER,3
FULLERTON MUNI,133
FULTON,4
FULTON COUNTY,21
FULTON COUNTY AIRPORT-BROWN FIELD,52
FULTON MUNI,1
FUQUAY/ANGIER FIELD,1
FURNACE CREEK,14
FURNACE CREEK MUNI,1
G. V. MONTGOMERY,2
GADABOUT GADDIS,2
GAFFNEY,3
GAGE,6
GAINES COUNTY,1
GAINESVILLE MEMORIAL,1
GAINESVILLE MUNI,37
GAINESVILLE RGNL,51
GAITHERSBURG,1
GALBRAITH LAKE,1
GALENA MUNI,1
GALENSTEIN PARK,1
GALESBURG MUNI,19
GALION MUNI,1
GALLATIN MUNI,2
GALLIA-MEIGS RGNL,4
GALLUP MUNI,38
GALT FIELD,3
GALVESTON,3
GAMBELL MUNI,1
GANDER INTL,2
GANSNER FIELD,8
GARBERVILLE,6
GARDEN CITY RGNL,37
GARDEN COUNTY,3
GARDEN VALLEY,1
GARDINER,4
GARDNER MUNI,34
GARFIELD COUNTY RGNL,15
GARNER,3
GARNER FIELD,11
GARNER MUNI,1
GARNETT MUNI,1
GARRETT COUNTY,4
GARRISON MUNI,1
GARY MUNI,13
GARY/CHICAGO INTL,34
GASTON,1
GASTON MUNI,1
GASTONIA MUNI,15
GASTONS,8
GATES,4
GATESVILLE MUNI,2
GATEWAY,4
GATLINBURG-PIGEON FORGE,6
GATWICK INTL,2
GAYLORD RGNL,14
GEAUGA COUNTY,7
GEHRIS,1
GEISINGER,1
GENE SNYDER,1
GENERAL DEWITT SPAIN,12
GENERAL DICK STOUT FIELD,2
GENERAL DOWNING - PEORIA INTL,108
GENERAL EDWARD LAWRENCE LOGAN INTL,628
GENERAL MITCHELL INTL,179
GENERAL WM J FOX AIRFIELD,42
GENESEE COUNTY,41
GENESEO,8
GENESEO MUNI,1
GENEVA MUNI,4
GEORGE BUSH INTERCONTINENTAL/HOUSTON,462
GEORGE DOWNER,2
GEORGE M BRYAN,7
GEORGE R CARR MEMORIAL AIR FLD,3
GEORGE T LEWIS,29
GEORGE WEST MUNI,1
GEORGETOWN,7
GEORGETOWN COUNTY,12
GEORGETOWN MUNI,33
GEORGETOWN SCOTT COUNTY - MARSHALL FLD,3
GERALD R. FORD INTL,130
GERALDINE,1
GERMACK,2
GETTYSBURG MUNI,3
GETTYSBURG RGNL,4
GIBSON,1
GIBSON COUNTY,4
GIDDINGS-LEE COUNTY,5
GILA BEND AF AUX,7
GILA BEND MUNI,12
GILA RIVER MEMORIAL,11
GILBERT,1
GILBERT FIELD,1
GILL ROBB WILSON FIELD,1
GILLESPIE COUNTY,11
GILLESPIE FIELD,152
GILLETTE MUNI,2
GILLETTE-CAMPBELL COUNTY,33
GILLIAM - MC CONNELL AIRFIELD,1
GILMER COUNTY,4
GILMORE,1
GILSTRAP FIELD,1
GIMLIN,3
GIRDWOOD,2
GLACIER PARK INTL,32
GLAD OAKS,2
GLADEWATER MUNI,5
GLADWIN MUNI,1
GLADWIN ZETTEL MEMORIAL,5
GLASGOW INDUSTRIAL,1
GLASGOW INTL,1
GLASGOW MUNI,4
GLEN BURNIE INTL,1
GLEN ULLIN RGNL,1
GLENCOE MUNI,4
GLENDALE MUNI,56
GLENDIVE MUNI,1
GLENN'S STRIP,2
GLENNDALE,3
GLENNS FERRY MUNI,3
GLENS FALLS MUNI,1
GLENWOOD MUNI,2
GLENWOOD SPRING MUNI,2
GLENWOOD SPRINGS MUNI,4
GLOVER,1
GNOSS FIELD,49
GODMAN AAF,1
GOGEBIC-IRON COUNTY,10
GOLD BEACH MUNI,2
GOLD HILL,1
GOLD KING CREEK,1
GOLDEN TRIANGLE RGNL,4
GOLDFIELD RANCH,1
GOLDSBY MUNI,1
GOLOVIN,4
GOLOVIN MUNI,1
GOODALL RANCH,1
GOODING MUNI,2
GOODNEWS,2
GOODSPEED,13
GOODYEAR MUNI,1
GOOSE BAY,5
GOOSE CREEK,6
GORD,1
GORDON MUNI,6
GORDONSVILLE MUNI,2
GORHAM,1
GORMAN,1
GOSHEN MUNI,23
GOTHENBURG MUNI,1
GOULD PETERSON MUNI,1
GOWEN FIELD,1
GOWER FIELD,1
GRACE'S LANDING,2
GRAHAM,1
GRAHAM FIELD,1
GRAHAM MUNI,5
GRANBURY RGNL,13
GRANBY-GRAND COUNTY,2
GRAND CANYON BAR TEN AIRSTRIP,2
GRAND CANYON CAVERNS,1
GRAND CANYON NATIONAL PARK,79
GRAND CANYON WEST,14
GRAND CANYON WEST-1,1
GRAND COULEE DAM,1
GRAND COULEE MUNI,1
GRAND FORKS INTL,98
GRAND FORKS MUNI,3
GRAND GENEVA RESORT,5
GRAND GLAIZE- OSAGE BEACH,22
GRAND HAVEN MEMORIAL AIRPARK,2
GRAND ISLE,2
GRAND JUNCTION REGIONAL,67
GRAND LAKE RGNL,1
GRAND MARAIS/COOK COUNTY,1
GRAND PRAIRIE MUNI,37
GRAND RAPIDS/ITASCA CO-GORDON NEWSTROM FLD,14
GRAND STRAND,57
GRAND VALLEY,1
GRANDFIELD MUNI,4
GRANDPAS' FARM MENDOTA,1
GRANITE MUNI,1
GRANT CO INTL,35
GRANT CO RGNL/OGILVIE FIELD,3
GRANT COUNTY,31
GRANT MUNI,2
GRANTS PASS,11
GRANTS PASS MUNI,2
GRANTS-MILAN MUNI,8
GRANTSBURG MUNI,8
GRAPEVINE,1
GRAPEVINE MUNI,2
GRATIOT COMMUNITY,10
GRAVELLY VALLEY,1
GRAWUNDER FIELD,4
GRAY,1
GRAY AAF (JOINT BASE LEWIS-MCCHORD),5
GRAY BUTTE FIELD,1
GRAY RANCH,1
GRAYLING,1
GRAYLING MUNI,1
GRAYS CREEK,1
GRAYSON,1
GREAT BARRINGTO MUNI,1
GREAT BEND MUNI,8
GREAT FALLS INTL,121
GREAT HARBOUR C MUNI,1
GREAT VALLEY,2
GREATER BINGHAMTON/EDWIN A LINK FIELD,169
GREATER CUMBERLAND RGNL,9
GREATER KANKAKEE,24
GREATER PORTSMOUTH RGNL,5
GREATER ROCHESTER INTL,551
GREELEY MUNI,2
GREELEY-WELD COUNTY,64
GREEN ACRES,2
GREEN CASTLE,6
GREEN LAKE,1
GREEN LANDINGS,1
GREEN MOUNTAIN,1
GREEN RIVER MUNI,5
GREENBRIER VALLEY,8
GREENCASTLE MUNI,1
GREENE COUNTY,14
GREENE COUNTY RGNL,1
GREENE COUNTY-LEWIS A. JACKSON RGNL,18
GREENEVILLE-GREENE COUNTY MUNI,9
GREENFIELD MUNI,1
GREENSBORO MUNI,7
GREENSBORO NORTH,2
GREENSBURG JEANNETTE RGNL,5
GREENSBURG MUNICIPAL,5
GREENSFIELD,1
GREENVILLE,8
GREENVILLE DOWNTOWN,43
GREENVILLE INTL,1
GREENVILLE MUNI,27
GREENVILLE SPARTANBURG INTL,31
GREENVILLE-SPARTANBURG,1
GREENWOOD COUNTY,9
GREENWOOD LAKE,18
GREENWOOD LAKE MUNI,3
GREENWOOD MUNI,17
GREENWOOD-LEFLORE,19
GREG'S FLYING SERVICE,1
GRENADA MUNI,8
GRIDER FIELD,28
GRIER,1
GRIFFIN,1
GRIFFIN-SPALDING COUNTY,12
GRIFFING SANDUSKY,14
GRIFFISS INTL,10
GRIFFITH MUNI,3
GRIFFITH-MERRILLVILLE,16
GRIMES,3
GRIMES FIELD,22
GRINNELL MUNI,1
GRINNELL RGNL,2
GRISSOM ARB,1
GRISWOLD,5
GROSS,1
GROSSE ILE MUNI,22
GROTON-NEW LONDON,45
GROVE CITY,10
GROVE CITY MUNI,1
GROVE FIELD,7
GROVE HILL MUNI,1
GROVE MUNI,9
GROVETON-TRINITY COUNTY,1
GRUNDY MUNI,3
GUADALAJARA INTL,1
GUAM INTL,23
GULFPORT-BILOXI INTL,30
GULKANA,11
GULKANA MUNI,1
GUNDYS,2
GUNNISON-CRESTED BUTTE RGNL,29
GUNSIGHT MOUNTAIN,1
GUNTERSVILLE MUNI,1
GUNTERSVILLE MUNI - JOE STARNES FIELD,5
GUSTAVUS,6
GUSTINE,3
GUSTINE MUNI,1
GUTHRIE MUNI,2
GUTHRIE-EDMOND RGNL,10
GUYMON MUNI,8
GWINNETT COUNTY - BRISCOE FIELD,40
GYRO TOWN USA,2
H & H FIELD,1
H L SONNY CALLAHAN,18
H.A. CLARK MEMORIAL FIELD,8
H.S.I.,1
HABETZ,1
HACKENBURG-PENNY HILL,3
HACKETTSTOWN,3
HADDOCK FIELD,1
HADLEY,1
HAGERSTOWN,4
HAGERSTOWN MUNI,3
HAGERSTOWN RGNL-RICHARD A HENSON FLD,42
HAGLER AAF,1
HAHN,1
HAIGH,1
HAIGH FIELD,4
HAINES,13
HAIRE,1
HALE COUNTY,25
HALES LANDING,1
HALF MOON BAY,18
HALF MOON BAY MUNI,1
HALIFAX COUNTY,8
HALL-MILLER MUNI,4
HALLER AIRPARK,1
HALLIBURTON FIELD,10
HALLOCK MUNI,1
HALLS CROSSING MUNI,1
HALSTEAD MUNI,1
HAMBURG INC,3
HAMBURG INTL,1
HAMILTON FIELD,2
HAMILTON MUNI,6
HAMILTON MUNICIPAL,3
HAMLIN MUNI,2
HAMMOND NORTHSHORE RGNL,25
HAMMONTON MUNI,12
HAMP,1
HAMPTON,1
HAMPTON AIRFIELD,6
HAMPTON MUNI,2
HAMPTON ROADS EXECUTIVE,30
HAMRY FIELD,1
HANA,4
HANAU MUNI,1
HANCOCK CO-RON LEWIS FIELD,1
HANCOCK COUNTY-BAR HARBOR,12
HANFORD MUNI,11
HANGAR LAKE,3
HANKSVILLE,4
HANNIBAL RGNL,2
HANOVER,4
HANOVER COUNTY MUNI,37
HAPPY CAMP,2
HAPPY VALLEY,1
HARBOR POINT,1
HARBOR SPRINGS,7
HARBORVIEW MEDICAL CENTER,1
HARBOUR,1
HARDWICK FIELD,9
HARDY-ANDERS FIELD NATCHEZ-ADAMS COUNTY,5
HARFORD COUNTY,2
HARFORD FIELD,1
HARLAN MUNI,7
HARLINGEN MUNI,2
HARNETT RGNL JETPORT,6
HAROLD DAVIDSON FIELD,3
HAROLD KRIER FLD,4
HARPER MUNI,1
HARRELL FIELD,3
HARRIET ALEXANDER FIELD,7
HARRIMAN-AND-WEST,2
HARRINGTON,1
HARRIS,1
HARRIS COUNTY,5
HARRIS HILL,4
HARRIS RANCH,23
HARRISBURG HOSPITAL,1
HARRISBURG INTL,209
HARRISBURG MUNI,1
HARRISBURG-RALEIGH,2
HARRISON,1
HARRISON COUNTY,9
HARRISON FIELD OF KNOX CITY,1
HARRISON MUNI,5
HARRY CLEVER FIELD,7
HARRY P WILLIAMS MEMORIAL,18
HARRY STERN,4
HART,10
HARTENBOWER HECTARES,2
HARTFORD MUNI,11
HARTFORD-BRAINARD,85
HARTNESS STATE (SPRINGFIELD),2
HARTSELLE-MORGAN COUNTY REGIONAL,5
HARTSFIELD - JACKSON ATLANTA INTL,310
HARTSVILLE MUNI,2
HARTSVILLE RGNL,4
HARTWOOD,1
HARVARD STATE,3
HARVEY FIELD,14
HARVEY MUNI,3
HARVEY POINT DEFENSE TESTING ACTIVITY,1
HARVEY YOUNG,15
HASKELL,4
HASKELL MUNI,4
HASSELL FIELD,1
HASTINGS,1
HASTINGS MUNI,9
HATBOX FIELD,2
HATCH,1
HATCH MUNI,1
HATTIESBURG BOBBY L CHAIN MUNI,5
HATTIESBURG-LAUREL RGNL,7
HAVANA MUNI,1
HAVEN WOOD,1
HAVERHILL MUNI,1
HAVRE CITY-COUNTY,9
HAVRE MUNI,1
HAWK AIR,1
HAWK NEST,2
HAWKINS,1
HAWKINS COUNTY,2
HAWKINS FIELD,27
HAWLEY MUNI,3
HAWTHORNE INDUSTRIAL,5
HAWTHORNE-FEATHER AIRPARK,7
HAYCOCK,1
HAYES,1
HAYES FIELD,1
HAYES MUNI,1
HAYNESVILLE,1
HAYS RGNL,16
HAYSFIELD,1
HAYWARD EXECUTIVE,82
HAZARD MUNI,1
HAZEL GREEN,1
HAZELTON MUNI,1
HAZEN MUNI,3
HAZLEHURST,1
HAZLETON MUNI,18
HEALDSBURG MUNI,7
HEARNE MUNI,3
HEART OF GEORGIA RGNL,7
HEATH CANYON,1
HEATHROW,7
HEATHROW INTL,4
HEAVEN'S LANDING,1
HEBER AIRPARK,2
HEBER CITY MUNI - RUSS MCDONALD FIELD,11
HEBER SPRINGS MUNI,7
HEBERLIG,1
HEBRON MUNI,3
HECKENDORF RANCHES,1
HECTOR INTL,83
HECTOR MUNI,2
HEFNER-EASLEY,5
HEINER,2
HELENA MUNI,4
HELENA RGNL,61
HEMET-RYAN,56
HEMINGWAY-STUCKEY,1
HEMPHILL COUNTY,7
HEMPSTEAD,1
HENDERSHOT,1
HENDERSON,1
HENDERSON AVIATION,2
HENDERSON CITY-COUNTY,2
HENDERSON EXECUTIVE,57
HENDERSON FIELD,8
HENDERSON MUNI,2
HENDERSON-OXFORD,6
HENDERSONVILLE,7
HENDRICKS COUNTY-GORDON GRAHAM FLD,6
HENKE,1
HENLEY,1
HENRY COUNTY,5
HENRY E ROHLSEN,18
HENRY POST AAF (FORT SILL),2
HENRY TIFT MYERS,6
HENRYETTA MUNI,1
HEPHZIBAH MUNI,1
HEPP,1
HEREFORD MUNI,6
HERINGTON RGNL,1
HERITAGE FIELD,22
HERLONG RECREATIONAL,20
HERMANN MUNI,1
HERMISTON MUNI,4
HERNANDO COUNTY,39
"HERNANDO VILLAGE AIRPARK, INC",1
HERNDON,20
HEROLD,1
HERREN,1
HERRON,6
HERSHEY MUNI,2
HESLER-NOBLE FIELD,9
HESPERIA,14
HESPERIA MUNI,1
HESSEL MUNI,1
HETTINGER MUNI,1
HEUSSLER HAMBURG,3
HEXTON FARMS,1
HIATT,1
HIBBING MUNI,2
HICKORY RGNL,35
HICKS AIRFIELD,17
HIDDEN HILLS,1
HIDDEN LAKE,6
HIDDEN RIVER,2
HIDDEN VALLEY,4
HIDDEN VALLEY AIRPARK,1
HIGGINSVILLE INDUSTRIAL MUNI,3
HIGH VALLEY AIRPARK,2
HIGHCREST AIR PARK,1
HIGHLAND,2
HIGHLAND COUNTY,4
HIGHLAND-WINET,3
HIGHVIEW FARMS,1
HILL AFB,3
HILL CITY MUNI,4
HILL CITY-QUADNA MOUNTAIN,1
HILLCREST,2
HILLENBRAND INDUSTRIES,1
HILLIARD AIRPARK,3
HILLMAN MUNI,1
HILLSBORO MUNI,21
HILLSDALE MUNI,4
HILLSIDE,3
HILLTOP,3
HILLTOP LAKES,2
HILO INTL,32
HILO MUNI,1
HILTON HEAD,27
HILTON HEAD ISL MUNI,2
HILTON HEAD MUNI,2
HILTON MUNI,1
HILTY FIELD,1
HIMSEL ARMY AIRFIELD,1
HINCKLEY,6
HINDE,1
HINSHAW (GREENACRES),5
HIRAM CURE,1
HITE PRIVATE,1
HOAG,1
HOBART RGNL,3
HOBART SKY RANCH,4
HOBBS MUNI,1
HOBBY FIELD,9
HOGAN,1
HOGUE,1
HOLBROOK MUNI,4
HOLDENVILLE MUNI,1
HOLLAND MUNI,1
HOLLANDALE MUNI,3
HOLLANDER'S,1
HOLLANDS INTL FIELD,2
HOLLEY MOUNTAIN AIRPARK,4
HOLLIS CLARK BAY,1
HOLLIS MUNI,2
HOLLISTER MUNI,37
HOLLOMAN AFB,5
HOLLY HILL,2
HOLLY LAKE RANCH,1
HOLLY SPRINGS-MARSHALL COUNTY,5
HOLMES COUNTY,6
HOLMES RGNL MEDICAL CENTER,1
HOLTVILLE,1
HOLYOKE,4
HOLYOKE MUNI,2
HOME ACRES SKY RANCH,3
HOMEDALE MUNI,2
HOMER,30
HOMER MUNI,1
HOMER-BELUGA LAKE,3
HOMESTEAD ARB,2
HOMESTEAD GENERAL AVIATION,27
HOMESTEAD MUNI,1
HONDAROSA,2
HONDO MUNI,3
HONEOYE FALLS,3
HONEOYE FALLS MUNI,2
HONG KONG INTL,6
HONLULU INTL,1
HONOLULU INTL,315
HOOD RIVER MUNI,1
HOONAH,4
HOONAH MUNI,1
HOOPER BAY,2
HOOPER BAY MUNI,1
HOPE MUNI,6
HOPEDALE INDUSTRIAL PARK,1
HOPEWELL,1
HOPKINS,2
HOPKINS FIELD,2
HOPKINSVILLE-CHRISTIAN COUNTY,3
HOPPY'S,1
HORACE WILLIAMS,14
HORIZON,7
HORNELL MUNI,2
HORNERSVILLE MUNI,1
HORNING,3
HORSESHOE BAY AIRPARK,9
HORSESHOE BEND,5
HORTON MUNI,1
HOSPITAL WING,1
HOT SPRINGS CO-THERMOPOLIS MUNI,3
HOT SPRINGS MUNI,5
HOUGHTON COUNTY MEMORIAL,9
HOULTON INTL,5
HOUMA TERREBONNE,1
HOUMA-TERREBONNE,46
HOUSE MOVERS FIELD,1
HOUSTON,6
HOUSTON AIRPARK,4
HOUSTON COUNTY,4
HOUSTON EXECUTIVE,2
HOUSTON MEMORIAL,13
HOUSTON MUNI,3
HOUSTON-SOUTHWEST,32
HOWARD COUNTY,4
HOWARD NIXON MEMORIAL,2
HOWELL,9
HOWELL-NEW LENOX,4
HOWLTON MUNI,1
HOXIE MUNI,1
HOXIE-SHERIDAN COUNTY,1
HUBLER FIELD,2
HUDSON,2
HUGGINS MEMORIAL,3
HUGOTON MUNI,4
HULETT MUNI,2
HUMACAO,6
HUMACAO MUNI,2
HUMBOLDT MUNI,4
HUMMEL FIELD,17
HUMMEL MUNI,1
HUMPHREYS COUNTY,2
HUNT,7
HUNT FIELD,2
HUNTER AAF,5
HUNTER MOUNTAIN,2
HUNTER MUNI,1
HUNTINGBURG,4
HUNTINGDON,2
HUNTINGDON MUNI,1
HUNTINGTON MUNI,6
HUNTSVILLE INTL-CARL T JONES FIELD,42
HUNTSVILLE MUNI,10
HURDLE FIELD,2
HURLBURT FIELD,1
HURON COUNTY MEMORIAL,4
HURON MUNI,1
HURON RGNL,15
HUSBAND FIELD,1
HUSCHER FIELD,1
HUSLIA,5
HUTCHINSON,1
HUTCHINSON COUNTY,6
HUTCHINSON MUNI,46
HUTCHINSON MUNI-BUTLER FIELD,4
HUTSON FIELD,11
HYANNIS MUNI,4
HYDE COUNTY,2
HYDE FIELD,1
HYSHAM,1
ICY BAY,1
IDA GROVE MUNI,3
IDABEL,2
IDAHO COUNTY,5
IDAHO FALLS MUNI,3
IDAHO FALLS RGNL,47
IGOR I SIKORSKY MEMORIAL,75
ILIAMNA,14
ILIAMNA MUNI,1
ILLINOIS VALLEY,2
ILLINOIS VALLEY PARACHUTE CLUB,1
ILLINOIS VALLEY RGNL-WALTER A DUNCAN FIELD,8
ILWACO MUNI,2
IMMOKALEE RGNL,11
IMPERIAL COUNTY,35
IMPERIAL MUNI,9
INCHEON INTL,1
INDEPENDENCE MEMORIAL,20
INDEPENDENCE MUNI,11
INDEPENDENCE STATE,10
INDIAN CREEK USFS,2
INDIAN HAMMOCK,1
INDIAN HILLS AIRPARK,6
INDIAN RIVER AERODROME,1
INDIAN TOWN MUNI,1
INDIANA COUNTY/JIMMY STEWART FLD/,10
INDIANAPIOLIS INTL,1
INDIANAPOLIS DOWNTOWN,7
INDIANAPOLIS EXECUTIVE,21
INDIANAPOLIS INTL,501
INDIANAPOLIS METROPOLITAN,23
INDIANAPOLIS MUNI,11
INDIANAPOLIS RGNL,66
INDIANOLA,1
INDIANOLA MUNI,5
INDIANPOLIS INTL,1
INDIANTOWN,5
INDUSTRIAL AIRPARK,7
INDUSTRY AIR PARK,1
INGALLS FIELD,7
INGERSOLL,2
INNOVIS HEALTH,1
INTEGRIS CLINTON RGNL HOSPITAL,1
INTERNATIONAL F INTL,1
INTERNATIONAL F MUNI,2
INTL PEACE GARDEN,1
INVERNESS,6
INYOKERN,13
INYOKERN MUNI,1
IONIA COUNTY,5
IOSCO COUNTY,6
IOWA CITY MUNI,24
IOWA COUNTY,5
IOWA FALLS MUNI,6
IRAAN MUNI,5
IRON COUNTY,1
ISABEL MUNI,1
ISBELL,1
ISBELL FIELD,1
ISEDOR IVERSON,3
ISLA GRANDE MUNI,2
ISLA VERDE INTL,1
ISLE PRIVATE,2
ISLESBORO,2
ISLESBORO MUNI,1
ISSAQUAH MUNI,2
ITHACA TOMPKINS RGNL,65
IUKA,2
IUKA MUNI,1
J LYNN HELMS SEVIER COUNTY,1
J T WILLIE,1
J. DOUGLAS BAKE MEMORIAL.,2
JAARS-TOWNSEND,10
JABLONSKI,1
JACK BARSTOW,13
JACK BROOKS RGNL,47
JACK BROWNS,2
JACK EDWARDS,12
JACK FISH LANDING,1
JACK MC NAMARA FIELD,16
JACK NORTHROP FIELD/HAWTHORNE MUNI,50
JACKPOT MUNI,1
JACKPOT/HAYDEN FIELD,13
JACKSBORO MUNI,1
JACKSON,4
JACKSON COUNTY,29
JACKSON COUNTY-REYNOLDS FIELD,57
JACKSON HOLE,56
JACKSON HOLE MUNI,2
JACKSON MUNI,5
JACKSON PRIVATE,2
JACKSON-EVERS INTL,59
JACKSONVILLE EXECUTIVE AT CRAIG,75
JACKSONVILLE INTL,79
JACKSONVILLE MUNI,14
JACKSONVILLE NAS (TOWERS FLD),7
JACOB GUST,1
JACQUELINE COCHRAN RGNL,35
JACUMBA,2
JAFFREY AIRPORT-SILVER RANCH,4
JAKE ARNER MEMORIAL,4
JAKES BAR,1
JAMAICA INTL,1
JAMES CLEMENTS MUNI,9
JAMES M COX DAYTON INTL,149
JAMESTOWN MUNI,1
JAMESTOWN RGNL,8
JAMIESON MUNI,1
JANES,2
JASPER COUNTY,4
JASPER COUNTY-BELL FIELD,5
JASPER MUNI,1
JAVIKA,2
JAY,1
JAY KAY RANCH,1
JEAN,23
JEAN AIRPORT,1
JEAN MUNI,1
JEANERETTE MUNI,1
JEFCO SKYPARK,1
JEFFERSON CITY MEMORIAL,29
JEFFERSON CITY MUNI,2
JEFFERSON COUNTY AIRPARK,9
JEFFERSON COUNTY INTL,9
JEFFERSON MUNI,3
JEKYLL ISLAND,8
JENA,1
JENKINS,1
JENKINSBURG MUNI,1
JENKS MUNI,1
JENNINGS,4
JEROME COUNTY,4
JERRY SUMNERS SR AURORA MUNI,8
JERRY TYLER MEMORIAL,8
JERSEYVILLE AVIATION INC,1
JESSE VIERTEL MEMORIAL,1
JESUP MUNI,2
JESUP-WAYNE COUNTY,5
JETWAY,1
JICARILLA APACHE NATION,1
JIM BENSON FIELD,1
JIM HAMILTON L.B. OWENS,23
JIM HOGG COUNTY,1
JIM KELLY FIELD,5
JIMMY CARTER RGNL,2
JJ & PK,1
JOE FOSS FIELD,75
JOE VAUGHN SPRAYING,1
JOHN A BAKER FLD,1
JOHN BELL WILLIAMS,6
JOHN C TUNE,16
JOHN DAY MUNI,1
JOHN F KENNEDY INTL,335
JOHN F KENNEDY MEMORIAL,3
JOHN H BATTEN,8
JOHN H HOOKS JR MEMORIAL,5
JOHN MURTHA JOHNSTOWN-CAMBRIA CO,48
JOHN NICHOL'S FIELD,5
JOHN R REED,1
JOHN S DUNN HELISTOP,1
JOHN WAYNE AIRPORT-ORANGE COUNTY,303
JOHNNIE VOLK FIELD,1
JOHNNYCAKE,7
JOHNSEN,2
JOHNSON,4
JOHNSON BROTHERS,1
JOHNSON CITY MEDICAL CENTER,1
JOHNSON COUNTY,2
JOHNSON COUNTY EXECUTIVE,103
JOHNSON CREEK,7
JOHNSON FIELD,3
JOHNSON'S LANDING,2
JOHNSONS,1
JOHNSTON,3
JOHNSTON COUNTY,20
JOINT BASE ANDREWS,6
JOINT BASE MC GUIRE DIX LAKEHURST,2
JOLIET MUNI,3
JOLIET RGNL,41
JONES,8
JONES FIELD,3
JONES MEMORIAL,2
JONESBORO,1
JONESBORO MUNI,34
JONESVILLE,3
JOPLIN RGNL,34
JORDAN,1
JORDAN MUNI,1
JORGE CHAVEZ INTL,1
JOSEPH A. HARDY CONNELLSVILLE,9
JOSEPH STATE,4
JOSEPH Y RESNICK,5
JOSLIN FIELD - MAGIC VALLEY RGNL,53
JSI,1
JUAN SANTAMARIA INTL,1
JUDGE LEWIS FLD MT AYR MUNI,1
JULESBURG MUNI,1
JULIAN CARROLL,2
JUMBOLAIR-GREYSTONE,1
JUNCTION,1
JUNEAU HARBOR,1
JUNEAU INTL,104
JUNIPER HILLS,1
KABUL,1
KAHULUI,66
KAHULUI MUNI,9
KAKE,2
