Acronym,acronym,Fullform4,Fullform5,Fullform6,link2
FBL,fbl,Light ,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FC,fc,Funnel Cloud (tornado or water spout),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FCST,fcst,Forecast,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FCT,fct,Friction coefficient,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FD,fd,Fault Detection,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FDE,fde,Fault detection and exclusion (in relation to GPS equipment),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FDL,fdl,Fixed Distance Lighting,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FDPS,fdps,Flight Data Processing system,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FDS,fds,Flight Director System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FEW,few,Few (cloud descriptor),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FFR,ffr,"Flood, Fire Relief",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FG,fg,Fog,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FIA,fia,Flight Information Area,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FIC,fic,Flight Information Centre,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FIO,fio,Flight Information Office,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FIR,fir,Flight Information Region,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FISA,fisa,Flight information service (automated),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FISS,fiss,Flight Information Service Station,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FIX,fix,Fault Isolation Manual,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FL,fl,Flight Level,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FLD,fld,Field,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FLG,flg,Flashing,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FLIR,flir,Forward Looking Infra Red,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FLR,flr,Flares,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FLT,flt,Flight,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FLTCK,fltck,Flight check,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FLUC,fluc,"Fluctuating, Fluctuation, Fluctuated",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FLW,flw,"Follow(s), Following",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FLY,fly,"Fly, Flying",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FM,fm,From,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FM...,fm...,From (followed by time weather change is forecast to begin),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FMS,fms,Flight Management System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FMU,fmu,Flow Management Unit,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FNA,fna,Final Approach,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FNPT,fnpt,Flight and Navigation Procedures Trainer,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FOD,fod,Foreign Object Damage,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FOI,foi,Flying Operations Inspector,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FPD,fpd,Flight Plan Designator,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FPL,fpl,Filed Flight Plan Message,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FPM,fpm,Feet per Minute,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FPR,fpr,Flight Plan Route,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FPV,fpv,First person view,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FR,fr,Fuel Remaining,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FREQ,freq,Frequency,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FRM,frm,Fault Reporting Manual,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FRMS,frms,Fatigue Risk Management System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FRNG,frng,Firing,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FRONT,front,Front (relating to weather),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FRQ,frq,Frequent,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FS,fs,Flight Service (in general),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FSA,fsa,Flight Safety Australia,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FSL,fsl,Full Stop Landing,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FSP,fsp,Fish Spotting,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FSS,fss,Flight service station,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FST,fst,First,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FT,ft,Feet,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FTD,ftd,Flight training device,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FTE,fte,Full time equivalent,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FTO,fto,Flight Training Organisation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FU,fu,Smoke,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FXD,fxd,Fixed,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FZ,fz,Freezing,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FZDZ,fzdz,Freezing Drizzle,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FZFG,fzfg,Freezing Fog,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FZL,fzl,Freezing Level,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
FZRA,fzra,Freezing Rain,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
G,g,Gravity,Green,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
G/A,g/a,Ground-to-air,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
G/A/G,g/a/g,Ground-to-air and air-to-ground,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GA,ga,"Go ahead, resume sending (to be used in AFS as a procedure signal)",General Aviation,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GAAP,gaap,General Aviation Aerodrome Procedures,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GAMET,gamet,Area forecast for low-level flights,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GAPAN,gapan,"Honourable Company of Air Pilots, Australia, Inc.",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GBAS,gbas,Ground Based Augmentation System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GCA,gca,Ground Controlled Approach,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GCN,gcn,General Computing Network (operated by Airservices Australia),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GDOP,gdop,Geometric Dilution of Precision,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GEN,gen,General,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GEO,geo,"Geographic, true",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GES,ges,Ground Earth Station,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GFA,gfa,The Gliding Federation of Australia,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GFY,gfy,Glider Flying,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GHA,gha,Ground handling agents,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GIVD,givd,Gravity Induced Vestibular Dysfunction,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GLD,gld,Glider,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GLOC,gloc,Gravity Induced Loss of Consciousness,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GLONASS,glonass,Global Orbiting Navigation Satellite System (pronounced 'GLO-NAS'),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GM,gm,Guidance Material,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GMC,gmc,Ground Movement Chart (followed by name/title),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GND,gnd,Ground,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GNDCK,gndck,Ground Check,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GNS,gns,Global Navigation System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GNSS,gnss,Global navigation satellite system,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GP,gp,Guiding principles,FLG Group Flashing ,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GPI,gpi,Glide Path Intercept,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GPS,gps,Global positioning system (see GNSS),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GPWS,gpws,Ground proximity warning system,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GR,gr,Hail,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GRAD,grad,Minimum Required Climb Gradient,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GRAS,gras,Ground Based Regional Augmentation System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GRASS,grass,Grass Landing Area,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GRIB,grib,Processed meteoroglogical data in the form of grid point values expressed in binary form (aeronautical meterological code),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GRVL,grvl,Gravel,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GS,gs,Groundspeed,Small Hail and/or Snow Pellets,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GSE,gse,Ground Support Equipment,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
GUND,gund,Geoid Undulation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
H24,h24,Continuous day and night service,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HAA,haa,Height Above Aerodrome,Helicopter Association of Australia,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HAAMC,haamc,Head of Aircraft Airworthiness and Maintenance Control,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HAM,ham,Head of Aircraft Maintenance,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HAMC,hamc,Head of Aircraft Maintenance Control,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HAPI,hapi,Helicopter approach path indicator,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HAT,hat,Height Above Threshold,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HBN,hbn,Hazard Beacon,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HDF,hdf,High frequency direction-finding station,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HDG,hdg,Heading,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HDS,hds,Hours of Daylight Saving,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HEL,hel,Helicopter,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HF,hf,Human Factors,"High Frequency (3000 to 30,000 KHZ)",,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HFEM,hfem,Human Factor and Error Management System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HGFA,hgfa,Hang Gliding Federation of Australia Inc,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HGS,hgs,Heads-up Guidance System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HGT,hgt,"Height, Height Above",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HIAL,hial,High Intensity Approach Lighting,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HIOL,hiol,High Intensity Obstacle Lights,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HIRL,hirl,High Intensity Runway Lighting,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HJ,hj,Sunrise to Sunset,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HLDG,hldg,Holding,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HLS,hls,Helicopter Landing Site,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HMI,hmi,Human-machine Interface,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HN,hn,Sunset to Sunrise,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HO,ho,Service available to meet operational requirements,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HOFO,hofo,Head of Flying Operations,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HOO,hoo,Head of Operations,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HOSP,hosp,Hospital Aircraft,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HOTAS,hotas,Head of Training and Standards,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HOTC,hotc,Head of Training and Checking,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HP,hp,Horse Power,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HPA,hpa,HectoPascal,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HR,hr,Hours,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HS,hs,Homestead,Service available during hours of scheduled operations,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HSL,hsl,Hold Short Lights,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HUD,hud,Head Up Display,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HURCN,hurcn,Hurricane,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HVDF,hvdf,High and very high frequency direction finding stations (at the same location),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HVY,hvy,Heavy,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HX,hx,No specific working hours,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HYR,hyr,Higher,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HZ,hz,Haze,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HZ (hz),hz (hz),Hertz,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
HZS,hzs,Horizontal Surface,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IA,ia,Inspection authorisation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IAC,iac,Instrument approach chart (followed by name/title),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IAF,iaf,Initial Approach Fix,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IAL,ial,Instrument Approach and Landing Chart,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IAO,iao,In and out of clouds,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IAP,iap,Instrument Approach Plate,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IAR,iar,Intersection of air routes,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IAS,ias,Indicated air speed,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IATA,iata,International Air Transport Association,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IAW,iaw,In Accordance With,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IAWP,iawp,Initial Approach Way-point,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IBN,ibn,Identification Beacon,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IC,ic,Ice Crystals (MET code),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ICA,ica,Instructions for continuing airworthiness (issued by manufacturer or designer),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ICAO,icao,International Civil Aviation Organization,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ICE,ice,"Icing, Ice",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ICUS,icus,In-command Under Supervision,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ID,id,"Identifier, identify",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IDENT,ident,Identification,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IF,if,Instrument Flight,Intermediate Approach Fix,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IFF,iff,Identification Friend/Foe,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IFR,ifr,Instrument flight rules,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IFSD,ifsd,In-flight Shutdown,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IG,ig,Implementation Group,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IGA,iga,International general aviation,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ILS,ils,Instrument Landing System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IM,im,Inner Marker,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IMC,imc,Instrument meteorological conditions (other than VMC),Indirect Maintenance Cost,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IMG,img,Immigration,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IMI,imi,Interrogation sign,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IMPR,impr,"Improve, Improving, Improvement",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IMT,imt,"Immediate, Immediately",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INA,ina,Initial approach,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INBD,inbd,Inbound,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INC,inc,In Cloud,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INCERFA,incerfa,Uncertainty Phase,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INFO,info,Information,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INOP,inop,Inoperative,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INP,inp,If not possible,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INPR,inpr,In progress,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INS,ins,Inertial Navigation System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INSTL,instl,"Install, Installed, Installation",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INSTR,instr,Instrument,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INT,int,Intersection,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INTER,inter,"Intermittent, Intermittently (meteorological)",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INTL,intl,International,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INTRG,intrg,Interrogator,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INTRP,intrp,"Interrupt, Interruption, Interrupted",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INTSF,intsf,"Intensify, Intensifying",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
INTST,intst,Intensity,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IoA,ioa,Instrument of appointment,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IOC,ioc,Indirect Operating Cost,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IOE,ioe,Initial Operational Experience,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IPC,ipc,Illustrated Parts Catalogue,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IR,ir,Ice on runway,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IREX,irex,Instrument Training Examination,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IRM,irm,Immediately Reportable Matters,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IRS,irs,Internal Reporting System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ISA,isa,International Standard Atmosphere,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ISB,isb,Independent Sideband,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ISIM,isim,Integrated Safety Investigation Methodology,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ISO9000,iso9000,International Organization for Standardization,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ISOL,isol,Isolated,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
ITT,itt,Interstage Turbine Temperature,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IWI,iwi,Illuminated Wind Indicator,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
IWP,iwp,Intermediate Way-point,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
J-BAR,j-bar,Jet Barrier,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
JAA,jaa,Joint Aviation Authorities (of Europe),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
JAR,jar,Joint Aviation Requirements (of the European JAA),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
JAR-OPS,jar-ops,JAR Operations,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
JTSO,jtso,Joint Technical Standard Order,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
JTST,jtst,Jet Stream,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
KDR,kdr,Knowledge Deficiency Report,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
KG (kg),kg (kg),Kilograms,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
KHZ (kHz),khz (khz),Kilohertz,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
KM (km),km (km),Kilometers,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
KMH (km/h),kmh (km/h),Kilometers per hour,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
KPA (kPa),kpa (kpa),Kilopascals,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
KT (kt),kt (kt),Knots,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
KW (kw),kw (kw),Kilowatts,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
L,l,Left (runway identification),"Locator (see LM, LO)",,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LAAS,laas,Local Area Augmentation System,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LAHSO,lahso,Land and Hold Short Operations,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LAME,lame,Licensed Aircraft Maintenance Engineer,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LAN,lan,Inland,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LAT,lat,Latitude,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LDA,lda,Landing distance available,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LDG,ldg,Landing,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LDI,ldi,Landing Direction Indicator,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LDP,ldp,Landing decision point,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LEN,len,Length,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LF,lf,Low Frequency (30 to 300 KHZ),,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LGT,lgt,"Light, Lighting",,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
LGTD,lgtd,Lighted,,,https://www.casa.gov.au/about-us/site-information/aviation-abbreviations-and-acronyms
