Acronym,acronym,Fullform5,link3
SXZ,sxz,Siirt Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYA,sya,Eareckson Air Station,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYB,syb,Seal Bay Seaplane Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYC,syc,Shiringayoc Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYD,syd,Sydney Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYE,sye,Saadah Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYF,syf,Silva Bay Seaplane Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYG,syg,Syangboche Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYI,syi,Shelbyville Municipal Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYJ,syj,Sirjan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYK,syk,Stykkishólmur Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYM,sym,Pu'er Simao Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYN,syn,Stanton Airfield,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYO,syo,Shonai Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYP,syp,Ruben Cantu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYQ,syq,Tobías Bolaños International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYR,syr,Syracuse Hancock International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYS,sys,Saskylakh Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYT,syt,Saint-Yan Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYU,syu,Warraber Island Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYV,syv,Sylvester Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYW,syw,Sehwan Sharif Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYX,syx,Sanya Phoenix International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYY,syy,Stornoway Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SYZ,syz,Shiraz International Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZA,sza,Soyo Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZB,szb,Sultan Abdul Aziz Shah Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZE,sze,Semera Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZF,szf,Samsun-Çar?amba Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZG,szg,Salzburg Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZI,szi,Zaysan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZJ,szj,Siguanea Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZK,szk,Skukuza Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZL,szl,Whiteman Air Force Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZM,szm,Sesriem Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZN,szn,Santa Cruz Island Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZP,szp,Santa Paula Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZR,szr,Stara Zagora Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZS,szs,Ryan's Creek Aerodrome,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZU,szu,Ségou Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZV,szv,Suzhou Guangfu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZW,szw,Schwerin-Parchim International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZX,szx,Shenzhen Bao'an International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZY,szy,Olsztyn-Mazury Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
SZZ,szz,"""Solidarity"" Szczecin–Goleniów Airport",https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAA,taa,Tarapaina Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAB,tab,Arthur Napoleon Raymond Robinson International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAC,tac,Daniel Z. Romualdez Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAD,tad,Perry Stokes Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAE,tae,Daegu International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAF,taf,Oran Tafaraoui Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAG,tag,Bohol–Panglao International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAH,tah,Whitegrass Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAI,tai,Taiz International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAJ,taj,Tadji Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAK,tak,Takamatsu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAL,tal,Ralph M. Calhoun Memorial Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAM,tam,General Francisco Javier Mina International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAN,tan,Tangalooma Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAO,tao,Qingdao Liuting International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAP,tap,Tapachula International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAQ,taq,Tarcoola Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAR,tar,Taranto-Grottaglie Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAS,tas,Tashkent International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAT,tat,Poprad–Tatry Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAU,tau,Tauramena Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAV,tav,Tau Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAW,taw,Tacuarembó Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAX,tax,Taliabu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAY,tay,Tartu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TAZ,taz,Da?oguz Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBA,tba,Tabibuga Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBB,tbb,Dong Tac Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBC,tbc,Tuba City Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBD,tbd,Timbiquí Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBE,tbe,Timbunke Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBF,tbf,Tabiteuea North Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBG,tbg,Tabubil Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBH,tbh,Tugdan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBI,tbi,New Bight Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBJ,tbj,Tabarka–Aïn Draham International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBK,tbk,Timber Creek Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBL,tbl,Tableland Homestead Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBM,tbm,Tumbang Samba Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBN,tbn,Waynesville-St. Robert Regional Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBO,tbo,Tabora Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBP,tbp,Cap. FAP Pedro Canga Rodríguez Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBQ,tbq,Tarabo Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBR,tbr,Statesboro–Bulloch County Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBS,tbs,Tbilisi International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBT,tbt,Tabatinga International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBU,tbu,Fua?amotu International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBV,tbv,Tabal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBW,tbw,Tambov Donskoye Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBY,tby,Tshabong Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TBZ,tbz,Tabriz International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCA,tca,Tennant Creek Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCB,tcb,Treasure Cay Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCC,tcc,Tucumcari Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCD,tcd,Tarapacá Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCE,tce,Tulcea Danube Delta Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCF,tcf,Tocoa Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCG,tcg,Tacheng Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCH,tch,Tchibanga Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCI,tci,metropolitan area,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCJ,tcj,Torembi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCK,tck,Tinboli Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCL,tcl,Tuscaloosa Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCM,tcm,McChord Field,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCN,tcn,Tehuacán Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCO,tco,La Florida Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCP,tcp,Taba International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCQ,tcq,Coronel FAP Carlos Ciriani Santa Rosa International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCR,tcr,Tuticorin Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCS,tcs,Truth or Consequences Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCT,tct,Takotna Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCU,tcu,Thaba Nchu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCW,tcw,Tocumwal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCX,tcx,Tabas Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCY,tcy,Terrace Bay Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TCZ,tcz,Tengchong Tuofeng Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDA,tda,Trinidad Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDB,tdb,Tetebedi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDD,tdd,Teniente Jorge Henrich Arauz Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDG,tdg,Tandag Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDJ,tdj,Tadjoura Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDK,tdk,Taldykorgan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDL,tdl,Tandil Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDN,tdn,Theda Station Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDO,tdo,South Lewis County Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDP,tdp,Trompeteros Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDR,tdr,Theodore Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDS,tds,Sasereme Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDT,tdt,Tanda Tula Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDV,tdv,Samangoky Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDW,tdw,Tradewind Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDX,tdx,Trat Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TDZ,tdz,Toledo Executive Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEA,tea,Tela Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEB,teb,Teterboro Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEC,tec,Telêmaco Borba Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TED,ted,Thisted Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEE,tee,Cheikh Larbi Tébessi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEF,tef,Telfer Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEG,teg,Tenkodogo Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEH,teh,Tetlin Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEI,tei,Tezu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEK,tek,Tatitlek Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEL,tel,Telupid Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEM,tem,Temora Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEN,ten,Tongren Fenghuang Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEO,teo,Terapo Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEP,tep,Teptep Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEQ,teq,Tekirda? Çorlu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TER,ter,Lajes Field,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TES,tes,Teseney Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TET,tet,Chingozi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEU,teu,Te Anau Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEV,tev,Teruel Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEX,tex,Telluride Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEY,tey,Thingeyri Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TEZ,tez,Tezpur Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TFB,tfb,Tifalmin Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TFF,tff,Tefé Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TFI,tfi,Tufi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TFL,tfl,Teófilo Otoni Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TFM,tfm,Telefomin Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TFN,tfn,Tenerife–North Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TFR,tfr,Wadi al Jandali Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TFS,tfs,Tenerife–South Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TFT,tft,Taftan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGA,tga,Tengah Air Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGB,tgb,Tagbita Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGC,tgc,Tanjung Manis Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGD,tgd,Podgorica Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGE,tge,Sharpe Field ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGG,tgg,Sultan Mahmud Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGH,tgh,Tongoa Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGI,tgi,Tingo María Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGJ,tgj,Tiga Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGK,tgk,Taganrog Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGL,tgl,Tagula Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGM,tgm,Târgu Mure? International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGN,tgn,Latrobe Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGO,tgo,Tongliao Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGP,tgp,Podkamennaya Tunguska Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGQ,tgq,Tangará da Serra Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGR,tgr,Sidi Mahdi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGS,tgs,Chokwe Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGT,tgt,Tanga Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGU,tgu,Toncontín International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGV,tgv,Targovishte Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TGZ,tgz,Ángel Albino Corzo International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THA,tha,Tullahoma Regional Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THB,thb,Thaba Tseka Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THC,thc,Tchien Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THD,thd,Tho Xuan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THE,the,Teresina–Senador Petrônio Portella Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THG,thg,Thangool Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THH,thh,Taharoa Aerodrome,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THI,thi,Tichitt Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THK,thk,Thakhek Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THL,thl,Tachilek Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THM,thm,Thompson Falls Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THN,thn,Trollhättan–Vänersborg Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THO,tho,Thorshofn Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THP,thp,Hot Springs County–Thermopolis Municipal Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THQ,thq,Tianshui Maijishan Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THR,thr,Mehrabad International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THS,ths,Sukhothai Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THT,tht,Tamchakett Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THU,thu,Thule Air Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THV,thv,York Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THW,thw,Trincomalee Harbour Seaplane Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THX,thx,Turukhansk Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THY,thy,P.R. Mphephu Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
THZ,thz,Tahoua Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIA,tia,Tirana International Airport Nënë Tereza,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIB,tib,Tibú Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIC,tic,Tinak Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TID,tid,Abdelhafid Boussouf Bou Chekif Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIE,tie,Tippi Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIF,tif,Ta'if Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIG,tig,Tingwon Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIH,tih,Tikehau Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TII,tii,Tarinkot Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIJ,tij,Tijuana International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIK,tik,Tinker Air Force Base,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIL,til,Cheadle Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIM,tim,Mozes Kilangin Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIN,tin,Tindouf Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIO,tio,Tilin Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIP,tip,Tripoli International Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIQ,tiq,Tinian International Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIR,tir,Tirupati Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIU,tiu,Richard Pearse Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIV,tiv,Tivat Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIW,tiw,Tacoma Narrows Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIX,tix,Space Coast Regional Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIY,tiy,Tidjikja Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TIZ,tiz,Tari Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TJA,tja,Capitán Oriel Lea Plaza Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TJB,tjb,Sei Bati Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TJC,tjc,Ticantiquí Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TJG,tjg,Warukin Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TJH,tjh,Tajima Airport,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
TJI,tji,Trujillo Airport ,https://en.wikipedia.org/wiki/List_of_airports_by_IATA_and_ICAO_code
